,Rate,Comment
113,5,Simply awesome
114,5,Super!
115,5,Highly recommended
116,5,Excellent
117,5,Mind-blowing purchase
118,5,Simply awesome
119,5,Worth every penny
120,5,Wonderful
121,5,Mind-blowing purchase
122,4,Good choice
123,5,Super!
124,4,Nice product
125,5,Terrific purchase
126,5,Terrific
127,5,Simply awesome
128,5,Highly recommended
129,5,Best in the market!
130,5,Best in the market!
131,5,Great product
132,5,Classy product
133,4,Very Good
134,5,Simply awesome
135,5,Wonderful
136,5,Fabulous!
137,5,Best in the market!
138,2,Not good
139,1,Did not meet expectations
140,3,Just okay
141,1,Very poor
142,5,Highly recommended
143,5,Perfect product!
144,5,Excellent
145,2,Not good
146,5,Perfect product!
147,5,Mind-blowing purchase
148,5,Best in the market!
149,4,Value-for-money
150,4,Really Nice
151,5,Brilliant
152,1,Utterly Disappointed
153,4,Value-for-money
154,5,Classy product
155,4,Very Good
156,3,Just okay
157,5,Great product
158,3,"Decent product! Budget Buy, Finally Apple Brand New Phone"
159,1,Unsatisfactory
160,1,Not recommended at all
161,5,Mind-blowing purchase
162,5,Wonderful
163,5,Just wow!
164,4,Worth the money
165,2,Moderate
166,1,Worst experience ever!
167,5,Wonderful
168,1,Absolute rubbish!
169,5,Wonderful
170,5,Terrific
171,1,Absolute rubbish!
172,5,Perfect product!
173,1,Worthless
174,5,Perfect product!
175,5,Best in the market!
176,4,Really Nice
177,5,Excellent
178,5,Must buy!
179,1,Useless product
180,5,Brilliant
181,3,Good
182,5,Perfect product!
183,5,Worth every penny
184,3,Just okay
185,5,Brilliant
186,5,Best in the market!
187,5,Awesome
188,4,Wonderful
189,4,Good quality product
190,4,Worth the money
191,5,Classy product
192,5,Must buy!
193,5,Excellent
194,5,Wonderful
195,1,Not recommended at all
196,5,Brilliant
197,5,Excellent
198,2,Not good
199,5,Super!
200,5,Mind-blowing purchase
201,4,Value-for-money
202,5,Must buy!
203,5,Highly recommended
204,5,Great product
205,5,Perfect product!
206,5,Worth every penny
207,5,Simply awesome
208,4,Worth the money
209,5,Classy product
210,5,Perfect product!
211,1,Worst experience ever!
212,5,Brilliant
213,3,Does the job
214,4,Value-for-money
215,1,Worst experience ever!
216,5,Fabulous!
217,5,Must buy!
218,5,Fabulous!
219,5,Highly recommended
220,5,Just wow!
221,5,Terrific
222,4,Value-for-money
223,5,Awesome
224,5,Worth every penny
225,5,Terrific purchase
226,2,Moderate
227,5,Terrific
228,5,Highly recommended
229,5,Worth every penny
230,5,Terrific
231,5,Worth every penny
232,5,Great product
233,5,Super!
234,5,Mind-blowing purchase
235,5,Best in the market!
236,5,Simply awesome
237,5,Terrific purchase
238,4,Value-for-money
239,5,Simply awesome
240,5,Great product
241,5,Highly recommended
242,5,Terrific purchase
243,5,Just wow!
244,5,Terrific
245,5,Super!
246,5,Terrific purchase
247,5,Just wow!
248,5,Classy product
249,5,Simply awesome
250,4,Very Good
251,5,Simply awesome
252,5,Mind-blowing purchase
253,5,Must buy!
254,5,Super!
255,5,Simply awesome
256,5,Just wow!
257,5,Simply awesome
258,5,Best in the market!
259,5,Mind-blowing purchase
260,5,Perfect product!
261,5,Simply awesome
262,5,Just wow!
263,5,Awesome
264,5,Brilliant
265,5,Best in the market!
266,5,Fabulous!
267,1,Useless product
268,4,Delightful
269,5,Mind-blowing purchase
270,5,Perfect product!
271,5,Best Budget buy
272,4,Delightful
273,5,Brilliant
274,4,Good quality product
275,5,Must buy!
276,5,Excellent
277,5,Super!
278,4,Value-for-money
279,5,Must buy!
280,2,Slightly disappointed
281,4,Pretty good
282,5,Brilliant
283,5,Classy product
284,5,Worth every penny
285,5,Must buy!
286,5,Classy product
287,5,Wonderful
288,5,Mind-blowing purchase
289,5,Wonderful
290,5,Perfect product!
291,4,Good phone except for battery performance
292,5,Terrific purchase
293,3,Nice
294,5,Terrific
295,5,Worth every penny
296,1,Terrible product
297,5,Mind-blowing purchase
298,5,Simply awesome
299,5,Super!
300,5,Terrific purchase
301,5,Simply awesome
302,1,Absolute rubbish!
303,4,Wonderful
304,4,Really Nice
305,5,Just wow!
306,4,Wonderful
307,5,Awesome
308,4,Wonderful
309,5,Excellent
310,5,Just wow!
311,5,Worth every penny
312,5,Best in the market!
313,5,Simply awesome
314,5,Terrific
315,2,Bad quality
316,5,Excellent
317,5,Worth every penny
318,4,Good choice
319,5,Wonderful
320,1,Worst experience ever!
321,4,Nice product
322,5,Terrific purchase
323,4,Really Nice
324,5,Perfect product!
325,1,Absolute rubbish!
326,5,Fabulous!
327,2,Moderate
328,5,Simply awesome
329,4,Pretty good
330,5,Great product
331,5,Awesome
332,5,Simply awesome
333,4,Value-for-money
334,5,Simply awesome
335,5,Highly recommended
336,5,Brilliant
337,5,Worth every penny
338,1,Absolute rubbish!
339,5,Terrific purchase
340,4,Very Good
341,5,Fabulous!
342,5,Just wow!
343,5,Fabulous!
344,5,Fabulous!
345,5,Highly recommended
346,5,Fabulous!
347,5,Terrific
348,4,Wonderful
349,5,Terrific
350,5,Awesome
351,5,Great product
352,5,Terrific
353,3,Fair
354,5,Mind-blowing purchase
355,5,Fabulous!
356,2,Moderate
357,3,Just okay
358,5,Excellent
359,3,Fair
360,5,Worth every penny
361,5,Must buy!
362,5,Excellent
363,5,Great product
364,5,Terrific purchase
365,1,Absolute rubbish!
366,4,Really Nice
367,5,Excellent
368,1,Worst experience ever!
369,5,Fabulous!
370,3,Fair
371,5,Perfect product!
372,5,Worth every penny
373,5,Excellent
374,4,Delightful
375,1,Not recommended at all
376,4,Good choice
377,5,Simply awesome
378,5,Brilliant
379,1,Unsatisfactory
380,5,Awesome
381,5,Terrific
382,4,Really Nice
383,5,Great product
384,5,Brilliant
385,5,Worth every penny
386,5,Classy product
387,3,Decent product
388,5,Highly recommended
389,5,Excellent
390,4,Pretty good
391,5,Super!
392,5,Great product
393,5,Great product
394,1,Did not meet expectations
395,4,Very Good
396,5,Classy product
397,5,Simply awesome
398,4,Very Good
399,5,Worth every penny
400,5,Simply awesome
401,5,Must buy!
402,4,Worth the money
403,5,Super!
404,5,Super!
405,5,Excellent
406,5,Classy product
407,5,Best in the market!
408,5,Best in the market!
409,5,Classy product
410,5,Classy product
411,4,Very Good
412,5,Terrific
413,5,Classy product
414,3,Decent product
415,5,Great product
416,5,Must buy!
417,4,Good choice
418,5,Mind-blowing purchase
419,5,Terrific
420,5,Excellent
421,3,Just okay
422,5,Highly recommended
423,5,Great product
424,5,Excellent
425,3,Good
426,1,Hated it!
427,3,Decent product
428,1,Worst experience ever!
429,3,It would be a deal breaker if Mobile battery is good.
430,5,Worth every penny
431,5,Terrific purchase
432,5,Wonderful
433,5,Awesome
434,5,Brilliant
435,5,Simply awesome
436,4,Nice product
437,5,Fabulous!
438,5,Best in the market!
439,5,Wonderful
440,3,Decent product
441,5,Terrific purchase
442,5,Fabulous!
443,1,Worthless
444,4,Value-for-money
445,5,Fabulous!
446,5,Wonderful
447,4,Good quality product
448,5,Great product
449,5,Awesome product from apple
450,1,Absolute rubbish!
451,5,Terrific
452,1,Useless product
453,5,Perfect product!
454,5,Simply awesome
455,5,Must buy!
456,5,"Come, Let's Fall in Love Again!"
457,5,Worth every penny
458,5,Super!
459,5,Awesome
460,3,Does the job
461,5,Excellent
462,5,Classy product
463,5,Awesome
464,5,Must buy!
465,5,Must buy!
466,4,Good quality product
467,5,Mind-blowing purchase
468,1,Hated it!
469,5,Simply awesome
470,5,Classy product
471,5,Perfect product!
472,5,Highly recommended
473,3,Just okay
474,5,Must buy!
475,5,Must buy!
476,4,Value-for-money
477,5,Fabulous!
478,3,Fair
479,4,Nice product
480,5,Classy product
481,5,Terrific
482,5,Best in the market!
483,4,Wonderful
484,5,Super!
485,5,Worth every penny
486,5,Must buy!
487,4,Delightful
488,5,Great product
489,4,Very Good
490,5,Excellent
491,5,Fabulous!
492,5,Simply awesome
493,5,Must buy!
494,5,Classy product
495,5,Awesome
496,5,Perfect product!
497,5,Must buy!
498,5,thanks to apple and flipkart
499,5,Brilliant
500,5,Mind-blowing purchase
501,3,Good
502,5,Perfect product!
503,5,Simply awesome
504,5,Best in the market!
505,5,Brilliant
506,5,Simply awesome
507,5,Awesome
508,5,Great product
509,4,Very Good
510,5,Awesome
511,5,Just wow!
512,4,Pretty good
513,4,Value-for-money
514,5,Fabulous!
515,4,Delightful
516,1,Very poor
517,5,Terrific
518,1,Waste of money!
519,5,Worth every penny
520,5,Classy product
521,5,Terrific
522,5,Must buy!
523,5,Awesome
524,5,Highly recommended
525,5,Go for it with a blind eye!
526,1,Worthless
527,4,Good quality product
528,5,Wonderful
529,5,Classy product
530,5,Excellent
531,5,Super!
532,5,Highly recommended
533,5,Terrific purchase
534,5,Brilliant
535,5,Mustbuy best in class. rugged build quality best for parents
536,4,Delightful
537,5,Awesome
538,5,Best in the market!
539,5,Simply awesome
540,1,Very poor
541,1,Useless product
542,5,Awesome
543,4,Wonderful
544,4,Good quality product
545,5,Just wow!
546,5,Best in the market!
547,5,Just wow!
548,4,Delightful
549,4,Good quality product
550,3,Decent product
551,5,Brilliant
552,5,Best in the market!
553,5,Best in the market!
554,5,Perfect product!
555,5,Super!
556,5,Terrific
557,5,Best in the market!
558,5,Worth every penny
559,5,Simply awesome
560,4,"Good phone, except battery everything else works amazing"
561,5,Awesome
562,5,Classy product
563,5,Highly recommended
564,5,Terrific purchase
565,5,Great product
566,5,Fabulous!
567,5,Excellent
568,4,Wonderful
569,1,Worthless
570,3,Decent product
571,4,Good quality product
572,1,"quite frankly not worth in case you are looking to purchase a business laptop. just wasted my money on this product.

some negatives are mentioned below

1. in case you are extensive user of Excel sheets then this laptop is not for you. As majority of the functions in Excel won't work on this product. I have been told by the apple support to install Windows OS 😂 instead if I have that kind of work

2. in case you are a gamer don't purchase this product. Processing is not optemized to ensure you have a seamless experience

3. in case you use a lot of shortcuts and are not addicted to using mouse keypads this product would be worthless. For example if you use control+tab to shuffle between applications, you cannot do that in Mac as u have to use stupid finger gestures

finally extremely disappointed and looking to sell it off after 6 days of usage"
573,1,"Nice product awsome look and performance as i expected to be
But my charger is heating up♨♨ very fast
As too much that i can't hold it"
574,1,"quality is not good. keypad is not as apple is known for. as i think you will find better option in this price. I will not recommend for this product. total wastage of money. only those who have extra money they buy and give good review but if you really care for money never go for this product.
Performance is not good after using a week.
sound quality is average
color is average
most bad thing is its keypad. as i am using mackbook pro there is a lot difference in keypad.
just buy if you want to waste your money."
575,1,Honestly speaking . It's a very good laptop . Even in 2020 it's worth it. Battery life and sound quality is very awesome. Performance level too good . If your requirement is for professional or education use then must buy. If your requirement is for gaming then must be avoided.
576,1,"The rating given is based on the experience I had. Bought this product on Big billion day Oct'19, within a week I had to take it to service center. Issues I faced was -
1. Heating.
2. Not booting and showing black screen.
3. And finally it stopped working and not able to switch it on."
577,1,Not worth it to buy such a overly priced and overy hyped device. Its repairing costs more than the actual CP. This is horrible. Had to shed another 45000 for repairing its logic board.
578,1,"Macbook air as a product is undoubtedly great. however a word of caution regarding the seller. Not a reliable seller. i bought it from Truecom retail and
was sold by sane retails pvt ltd from telangana. when i checked the serial number of the macbook for warranty status on apple website, it showed purchase date not validated and serial number was not mentioned in the invoice. hence it was not showing 1 yr warranty. I contacted flipkart for resolving the issue and i was promised that issue would be resolved by the seller within 72 hrs. however its 5 days and still no resolution of the issue. finally i contacted apple and spoke to the customer care for continuous 2 days and got the warranty issue resolved. flipkart has still not resolved and i don’t envisage that it will be resolved in near future. so beware of the seller. however 5 star for the product and negative rating for the seller and flipkart."
579,1,"This is 2nd time I am facing in your exchange orders. inspite of giving all description, got harresed at the time of delivery. I hope no body will give brand new piece in exchange and for simple 1no scratch mark discount amount was reduced by RS.3800/-.
I have paid the full amount and didn't opt for exchange.
From next time onwards I will not opt for any item against exchange becoz felt cheated. Also will think twice to place orders to Flipkart.
Honestly very dissatisfied with the service I got today......."
580,1,I mac good product but flipkart service very bad
581,1,Must buy from apple store for warranty
582,1,Don't buy mac book on Flipkart
583,1,Dont Buy this product on Flipkart they will treat and fool you like donkey. worst customer care in the world
584,1,This is my first apple product and I bought this laptop on exchange with the my old hp laptop. My experience on very first day few keys are not working and I reached out to the Flipkart and they gave me response stating to visit and nearest mac service center. There is no replacement for the product and the solution for this fix is they need to replace whole keyboard. I am not happy because at the end I will be getting the repaired product and not the new one. ...
585,1,i bought MacBook air on big billion sale..this particular laptop is slow and charger gets hot very soon..I have used Macs earlier also but this one is the worst.. I am trying to get this my laptop exchanged but Flipkart isn't helping at all.
586,1,"I bought it on 21 Feb 2020, the charger stopped working after 4 months. No response from customer care."
587,1,"one year down the line, the motherboard is not working. please be careful while buying from this retailer"
588,1,After 3 month this line appear total lost and west products I need replacement this product I don't believe
589,1,"u sell me tooo too costlyafter i buy i chek rates @amazon at dere almost the difference is 10000 ... very sad for flipkart users ... i nevr recomened for this site if no compensation givn to me
thank you"
590,1,"It stopped working after 1 year 2 months all of a sudden. And when I took it for repair, they demanded 40k more for the repair.

That's not the quality I expect out of Apple."
591,1,"flipkart is making fool to people. some thing they commit, at the exchange time they want new product. even after paying difference amount they are not ready to provide revised invoice . this is cheating .."
592,1,"Mojave is very slow. In the flipkart link, it says Sierra, but the one I got is Mojave. Performance is not as expected. Rest all good."
593,1,"It seemed to be a very good deal initially. It worked perfectly for few months. However, screen got damaged due to water. Apple store was asking for 44k to replace screen. Got it replaced from outside in 22k. System used to hang multiple times. Who says apple devices don't hang. They do. Finally, the worst part, charging issue. Device doesn't charge."
594,1,"This product came as defective from the inside (which common man can not see from the first eye). When it ran into error mode I visited The Apple store to fix the errors, Apple store replied to me that the product has a circuit damaged which can not come under warranty. I paid extra Rs. 7000 to fix that problem.

Terrible seller."
595,1,"Please don't buy this product, This laptop has crashed within less than 7 months of its purchase. I would not recommend Apple Air to anyone. I gave it enough number of chances but it just doesn't deserve anything. The laptop crashed Four times and the engineer at the service center now says that the motherboard is faulty. Apple better refund my money on this piece.
Macbook Charger gets excessively heat up within 10 min of first use. And Flipkart is asking me to visit apple service centre inst..."
596,1,It stopped working after 15 days of purchase. It opens up and then everything becomes black and nothing is working even after pressing power button while the charger is connected. Sometimes apple logo appears and then again it went dead.
597,1,The trackpad of my new MacBookAir doesn't work or respond to a click. And it's not even a day but Flipkart won't take it and instead asks me to visit Apple centre. After sales service doesn't exist here. What distress!
598,1,I agrer that not all with believe... but after one year you will face issue while turning the PC ON...U go to Apple Store and you willl find 5-6 persons around u complaining samr thing.. Better have another option
599,1,for Apple five stars but for Flipkart delivery negative stars .no body cares when Flipkart courier partner updates wrong updates as customer un available .. Flipkart will shut down if it continues partnering with ecom express
600,1,Flipkart is worst online retail website...customer service is worst..
601,1,When I start after shutdown then mouse doesn't work and while updating OS also it failed after 99 % every time. Processing speed is too slow. They mentioned it has i5 processor but it doesn't work like that. Webcam quality is too bad.
602,1,"screen is very very bad.. display angle is very poor. blurred lines starts appearing in this products very early, now it stops working. estimate for repair is 22-25 k.
dont buy this product.waste of money"
603,1,Believe me guys. Don't go for this MacBook Air. It has many problems and repairing cost is u know like u can buy another laptop with that repairing cost. Using since 2018 to 2019 July and now it's a black box which want a repairing cost of 40k for logic board.
604,1,charger is not working properly
605,1,"--- UPDATE AFTER 10 DAYS: ---
The backlit is flickering on 10th day. Flipkart says they won't replace the item, Apple says they'll be charging for it and I'm absolutely stuck between the two. It seems that I've lost my 60k spent on the product. DO NOT BUY FROM FLIPKART guys, buy from some place where they take responsibility for it.

--- OLD REVIEW: ---

Incredibly happy with my Macboook. A bit slow but difference is negligible, can't believe its so fast even with a 5th gen i5. Highly recomme..."
606,1,"I purchased this on oct 2018. From that time I got 3 times issue. Now it is out of warranty and costing of repairing is 49,000/-. I am not happy with the product. Really very disappointed."
607,1,product is gud but flipkart is a big big big lier... taking orders by showing great schemes like exchange but simply refusing to accept the exchanged products even for normal wear and tear of the product... a big fat fraud ecommerce... a big Noooooo to flipkart in future
608,1,"Came in good packaging , was happy with the delivery and checked the serial number, and found original. Then after 3 days , not even used and the keys are loose and started falling off ! Frustrating ! Paid a huge amount and the build quality is pathetic ! It’s in service Center !!!"
609,1,Complaint product....Charger not working
610,1,Don't buy these expensive items from Flipkart rather go to store and get new sealed pack from them after a week of purchase it started getting automatically turnedoff due to add error I don't know what the fraud being done by the Flipkart or their seller it haven't worked great my colleagues also have same and it is working fine even after 2 years . And Flipkart don't even provide replacement for these if something bad happens .
611,1,"While doing new update screen gone blank. Took it to service centre and they said mother board is gone and it will cost 36K from apple care support. This is nonsense and warranty period is just for 1 year after all you are spending so much amount and I got this problem exactly in 14 month from the day of purchase I missed by 2 months, my bad luck. Now my Mac book air is of no use after spending 70K with in just 1 year. Apple should increase the warranty period for manufacturing defects to 2 y..."
612,1,I ordered for a Mac book air... It is having some connectivity issues on with bluetooth
613,1,"After one year used, laptop start heating and shutdown automatically, please don't buy just for Apple tag"
614,1,Hard disk got crashed in 15 months. Keys are not that good
615,1,Nice
616,1,stopped working in 15 days
617,1,Very bad quality
618,1,It stopped working after few months.
619,1,No helpful response form flipkart either
620,1,Damage product send so I suggest do not buy.
621,1,"Within two months it's stopped, I try to on but it not working"
622,1,Ok ok don’t worth it
623,1,"Very,very disappointing. Was expecting top-notch performance but found quite a lot of issues making it a deplorable experience for me. I moved from Windows for a better experience but clearly, it was a mistake."
624,1,Wrong please don't place order from this side or application it's worthless.. I purchased mackbook i5 but I saw a lot scratches in display after opening... So please don't purchase any apple product from this application (Flipkart)
625,1,the battery is draining very fast even with just internet surfing
626,1,It is not so good as I thought before buying. Speed is almost same. Only you boast of brand name. It not so user friendly. Ms office is not there.
627,1,Good product but price varies
628,1,I bought a macbook air 2017 and it gives reapeated shocks while switching it on... It has some serious heating issues.. And guess what.. IT GOT STUCK AND DOESNT MOVE. AND THE ARROW KEYS FOESNT WORK ANYMORE!!!
629,1,"I have purchase this product before 1 year 4 months ago, but now it is dead. When i go at apple repair center then they asked me around 42000Rs for fix the issue in my Macbook air, But before one year when i was purchase this at cost 64000Rs... This is wrost product that i have purchase in my life.... please do not purchase this product... This is waste of money....."
630,1,charget not found
631,1,I buy this one here on flipkart on oct 17 th i have warntry i didnt use much also but the apptronix guy is saying that it is liquid damage warrantry wont cover wrost product ever dont buy any apple products on online
632,1,"MAC is not for India because most of supporting app and software are not working with mac operating system. Therefore apple should bring laptop with window Microsoft or substitute of Mac so that we can use. otherwise it is only box.
Another point I want to add that b2 b GST invoice is not issuing to customer. Although they are charging GST. not issuing of B2B GST invoice is red alert...??"
633,1,bettery performance not upto the mark
634,1,Battery backup is 3~4 hrs and this was not accepted by apple. No return option from flipkart.
635,1,not good quality
636,1,Product is not user friendly no lan port at all. More over the return scheme from Flipkart not allow you to return if u r not satisfied.
637,1,In 10 days my os freezes and crashes this is very very very bad experience.this problem is solve by apple customer service but my important data is lost mahine is very good but update all app and system is necessary
638,1,Battery drained soon
639,1,"Received a damaged product and Battery drains so fast, totally disappointed"
640,1,"received defective display laptop internal crack in the display , apple is not replacing the product . shame on apple"
641,1,This macbook started giving problem after few months and after around 8 months i stopped all of a sudden. when i went to apple customer care they opened it and found one rust dot on mother board though there was no liquid spill or physical damage. initially i was told it is not covered in warranty but After few calls with customer care they considered it a design issue and replaced the motherboard in warranty. I bought apple products in USA too and never faced any quality or service issue. Se...
642,1,Best product of its class.. must have this.. and 1 star just forom all other companies who still not able to create the same magic.
643,1,Don't buy in 2019 they give you 2017 model
644,1,"It is 2017 model, go for latest model."
645,1,the laptop screen has minor cracks
646,1,Logic board got dead in just 13th month and new one is 35k! Not a value for money
647,1,Just after 13 months display got damaged.
648,1,"Never trust flipkart for these products. After 5 months of the purchase my laptop's motherboard is damaged without any reason at all. The charge doesn't stay even for 5 hours.
I truly regret buying it from here. Flipkart sells defective products. This one was a replacement, still it didn't work.

I will never recommend flipkart to anyone."
649,1,"Battery life and speed is lesser ... flipkart's service is worst. They did fraud by changing their return policy to replacement after I complained.

Laptop is gone within one year.
It's not turning on."
650,1,"Don't buy in 2021, started showing issues very next day after completion of 1year warranty time"
651,1,"Battery issue....MacBook Air battery lasts upto 10-12 hrs but my laptop's battery lasts only upto 4 hrs, with normal work."
652,1,Got damaged product
653,1,"Never buy it. It hangs, it lags. It has ruined all my expectations from apples. Go for another alternative."
654,1,Go for it don’t think
655,1,All over good experience...
656,1,"I had an issue with laptop, it is over heating while using a half an hour"
657,1,Pathetic support from jeeves (Flipkart Technical Team). Better to buy Apple products from Apple showroom.
658,1,Serial number mismatch in invoice provided by Flipkart
659,1,"Worst laptop, I have ever had.. I bought it 1.5 yrs ago, now it has motherboard problem. Why should I go for Apple instead of any other brand , if it has the same problem like other brands have.. now for the motherboard they are asking 32000 indian rs.. such a waste of money.."
660,1,"Adapter is overheating. This is really safety issue. I'm facing battery and Camara issues as well .

Not happy with this product. Request flipkart not to sell such defective product .Pls don't buy this product. I'm reporting to flipkart. If they not publish my post . I will to legal support."
661,1,"Quality of display is worst....
No clarity of pic...
It look like old time smartphones display"
662,1,Excellent power backup
663,1,"It's dead less than 2 years later despite very basis usage. Even the apple support centre isn't able to fix it despite charging 35k. Would recommend not buying. If you do, pls add on the extra insurance."
664,1,Worst experience product is not working after 1.5yrs . Unnecessary waste of money.
665,1,I have purchased the product but the screen gets off in between automatically and also when i touch the screen it gives electric shock sometimes
666,1,Not satisfied with flipkart.
667,1,Received a Macbook with a big scratch on the back of display. I have applied for a replacement.
668,1,It has not been a year I bought the product. But the sound stopped working one day. Few days after the charger stopped working. The performance was good but not sure what is wrong with the hardware. But it's a big dissapointment.
669,1,"The worst product I have purchased in my life. Mother board corrupted in less than 2 years. I had to replace it for 20k. This is worst than a Chinese product.
They are looting u on the basis of name only. It's better to buy HP product. Atleast they cost less and work fine for years."
670,1,I bought it in 2018 but now not working at all. use other app(Amazon) for buying
671,1,My Macbook Air Camera is very bad. I think my laptop camera is changed by seller.
672,1,"I received a defective product. The battery was completely drained and it notified ""Replace Now"". There were scratches in the product too. Thankfully Flipkart returned my product and refunded the amount."
673,1,Manufacturing defective
674,1,"This laptop heats on charging.
Charger gets hot within a minute of plugging.
Not worth buying. There is no exchange policy on Flipkart. Really sad."
675,1,"Mac Book Air not getting charged. Battery is not working with the adapter.
Do not buy from Flipkart. They have fudged. Flipkart has refused return also."
676,1,Battery problem after 7 month. also mother board issue
677,1,"The laptop faced numerous issues
1. Blickering of the screen while watching videos
2. The RAM stopped working within 3.5 months"
678,1,worst experience i have with Flipkart within one year of the product and now it's not in working condition also in 1 year 3 months . completely non functionable
679,1,"Not satisfied with the payment done.
I opted for no extra cost emi
Though system for is nearly 4k costlier to me"
680,1,Just don’t buy this if u r a windows user.
681,1,received all peace manufacturing damaged so not good EXPERIENCE
682,1,Gets heated when charged
683,1,use less to use product
684,1,defective product provided.. backspace and volume button not working.
685,1,The adapter got damaged within 6 month ..... and service centre service too poor.
686,1,"Worst product from apple, even you don't know when it will stop working and suddenly screen goes blank if working for more than 3 hours.
I would never recommend this to anyone.
Apple sucks, only brand name and the quality is very poor."
687,1,Not given on time
688,1,Don't buy not a good product as it's name. Mother board faulty in one year.Disappointed why I purchase apple mc book.
689,1,"So, I bought this macbook in big billion days last year and this year before even one year of its purchase it has stopped working. The MacBook air first shut down unexpectedly and didn't even start for 7 days. After seven days, it booted up but the fan is making a lot of noise also the battery info icon that used to be in the menu bar has also disappeared. After checking in system Preferences I found battery status 0% but the laptop is on and making a hell lot of noise. Also to add that, the ..."
690,1,"Thanks for prompt delivery.Its really very difficult to find cons in aApple product but i have give honest feedback , i.e, Very poor screen resolution . all Remain feature is good . Just 1year gone and its dead. Power is not getting on. Service centre has told me that motherboard is not working."
691,1,"Its very bad product I need to return.
but theire is no policy such."
692,1,After 8 months it stops working
693,1,battery backup decreased day by day
694,1,Enter key not working after 2 weeks !! Battery life 8hrs only on continous usage !!!
695,1,The laptop has scratches all over the body.
696,1,Disappointed
697,1,not good product we receive the product wifi damage problem
698,1,"the product is good, but even if you finds any defect in macbook there is no option to return it on the flipkart, then why to buy on it, it will show the link to copy n paste and you keep running their service center."
699,1,i don't like it
700,1,Adapter was not in working condition
701,1,Defective product
702,1,very bad product not workable
703,1,worst service ever.. received a faulty laptop...mother board isn't working and these ppl say they are not responsible for this... don't buy such costly products from flipkart.. totally useless
704,1,"key 5 number not well set up I think it's repair by the seller ,it cheat by the seller to customer,flipkard should be take a action against the seller"
705,1,"Your exchange policy is loaded against the buyer.The delivery man had come with a preconceived idea to reject my old laptop by saying that it doesn't fulfill the conditions . He wasn't convinced with my views..Since I have already paid 45 K ,I simply paid 5K and accepted new laptop."
706,1,"Awesome Deal 49,990..."
707,1,Display is not up to mark
708,1,Got a defected product
709,1,"Not a durable product, laptop motherboard is dead just over 15 months. Waste of money. There are other good laptops which comes cheap and durable.
I am sorry to say this is not a recommended product."
710,1,"This product is very good.. 4.5/5 for macbook air. During Big Billion Days i ordered Macbook pro 256gb without touch bar, I got confirmed and paid 99990/-. Next day i got msg that you have successfully refunded 99990 /-, I was shocked how can flipkart cancel my confirmed order. After I called to customer care, and they tying to make us fool. They said you order cancelled by seller because he don't have without touchbar model and placed another product. What the s*it is this. I don't believe n..."
